COUNTY,SUBCOUNTY,Area Ha LR 2018,Quantity Ton LR 2018,Temperature,Humidity,precipitation
BARINGO,Baringo central,"8,100","10,200",16.98356164,71.05150685,4.312054795
BARINGO,Baringo North,"4,700","5,660",16.98356164,71.05150685,4.312054795
BARINGO,Baringo South,"6,080","11,932",16.98356164,71.05150685,4.312054795
BARINGO,East Pokot,"1,450","1,747",16.98356164,71.05150685,4.312054795
BARINGO,Mogotio,"5,034","5,075",16.98356164,71.05150685,4.312054795
BARINGO,Eldama Ravine,"12,248","23,780",16.98356164,71.05150685,4.312054795
BOMET,Bomet Central,"4,350","7,623",17.47369863,75.48273973,2.92630137
BOMET,Bomet East,"3,600","7,070",17.47369863,75.48273973,2.92630137
BOMET,Chepalangu,"6,540","7,358",17.47369863,75.48273973,2.92630137
BOMET,Konoin,"1,950","3,861",17.47369863,75.48273973,2.92630137
BOMET,Sotik,"9,570","20,053",17.47369863,75.48273973,2.92630137
BUNGOMA,Bumula,"3,800","12,690",20.38684932,70.67068493,5.280273973
BUNGOMA,Kabuchai,"6,300","7,300",20.38684932,70.67068493,5.280273973
BUNGOMA,Kanduyi,"5,830","17,025",20.38684932,70.67068493,5.280273973
BUNGOMA,Kimilili,"9,160","36,814",20.38684932,70.67068493,5.280273973
BUNGOMA,Mt.Elgon,"15,090","57,195",20.38684932,70.67068493,5.280273973
BUNGOMA,Sirisia,"11,050","32,188",20.38684932,70.67068493,5.280273973
BUNGOMA,Tongaren,"29,300","102,950",20.38684932,70.67068493,5.280273973
BUNGOMA,Webuye East,"6,150","12,282",20.38684932,70.67068493,5.280273973
BUNGOMA,Webuye West,"3,860","12,005",20.38684932,70.67068493,5.280273973
BUSIA,Samia,"2,040","3,460",22.74,70.90109589,5.981917808
BUSIA,Bunyala,"3,030","2,304",22.74,70.90109589,5.981917808
BUSIA,Butula,"2,300","4,500",22.74,70.90109589,5.981917808
BUSIA,Matayos,"3,187","7,621",22.74,70.90109589,5.981917808
BUSIA,Teso south,"4,200","6,075",22.74,70.90109589,5.981917808
BUSIA,Nambale,"4,120","8,901",22.74,70.90109589,5.981917808
BUSIA,Teso North,"4,450","8,640",22.74,70.90109589,5.981917808
ELGEYO MARAKWET,Keiyo North,"5,300","19,822",17.02383562,71.22219178,4.275079452
ELGEYO MARAKWET,Keiyo South,"7,230","27,329",17.02383562,71.22219178,4.275079452
ELGEYO MARAKWET,Marakwet East,"5,890","19,029",17.02383562,71.22219178,4.275079452
ELGEYO MARAKWET,Marakwet West ,"12,080","26,179",17.02383562,71.22219178,4.275079452
EMBU,Manyatta,"4,440","6,003",17.02383562,71.22219178,4.275079452
EMBU,Mbeere North,"2,580","3,102",17.02383562,71.22219178,4.275079452
EMBU,Mbeere South,"5,720","5,534",17.02383562,71.22219178,4.275079452
EMBU,Runyenjes,"5,237","7,027",17.02383562,71.22219178,4.275079452
GARISSA,Garissa,32,43,27.73041096,63.43123288,1.409315068
GARISSA,Fafi,15,20,27.73041096,63.43123288,1.409315068
GARISSA,Balambala,9,11,27.73041096,63.43123288,1.409315068
GARISSA,Dadaab,12,10,27.73041096,63.43123288,1.409315068
GARISSA,Lagdera,3,0,27.73041096,63.43123288,1.409315068
GARISSA,Ijara,5,3,27.73041096,63.43123288,1.409315068
GARISSA,Hulugho,3,1,27.73041096,63.43123288,1.409315068
HOMABAY,Suba,"5,500",675,22.65780822,71.02136986,4.823013699
HOMABAY,Kabondo,"6,360","14,508",22.65780822,71.02136986,4.823013699
HOMABAY,karachuonyo,"1,230","5,040",22.65780822,71.02136986,4.823013699
HOMABAY,Kasipul,"6,210","11,178",22.65780822,71.02136986,4.823013699
HOMABAY,Ndhiwa,"8,760","17,496",22.65780822,71.02136986,4.823013699
HOMABAY,Rangwe,"6,600","10,540",22.65780822,71.02136986,4.823013699
HOMABAY,Mbita,"1,451","1,957",22.65780822,71.02136986,4.823013699
HOMABAY,Homa Bay Town,"3,442","5,989",22.65780822,71.02136986,4.823013699
ISIOLO,Merti,70,50,17.32958904,79.5109589,4.953424658
ISIOLO,Isiolo,40,80,17.32958904,79.5109589,4.953424658
ISIOLO,Garba Tulla,56,78,17.32958904,79.5109589,4.953424658
KAJIADO,Kajiado Central,600,810,19.3230137,71.95315068,2.513150685
KAJIADO,Kajiado East,"1,300","1,755",19.3230137,71.95315068,2.513150685
KAJIADO,Kajiado North,122,220,19.3230137,71.95315068,2.513150685
KAJIADO,Kajiado South,"4,500","3,675",19.3230137,71.95315068,2.513150685
KAJIADO,Kajiado West,310,558,19.3230137,71.95315068,2.513150685
KAKAMEGA,Khwisero,"3,410","4,604",20.1690411,70.38109589,4.266931507
KAKAMEGA,Likuyani,"16,150","63,061",20.1690411,70.38109589,4.266931507
KAKAMEGA,Butere,"5,150","7,650",20.1690411,70.38109589,4.266931507
KAKAMEGA,Lugari,"12,000","30,960",20.1690411,70.38109589,4.266931507
KAKAMEGA,Malava,"7,672","16,570",20.1690411,70.38109589,4.266931507
KAKAMEGA,MATETE,"3,100","9,866",20.1690411,70.38109589,4.266931507
KAKAMEGA,Mumias east,"3,500","8,050",20.1690411,70.38109589,4.266931507
KAKAMEGA,Mumias west,"3,115","7,009",20.1690411,70.38109589,4.266931507
KAKAMEGA,SHINYALU,"10,500","24,864",20.1690411,70.38109589,4.266931507
KAKAMEGA,Lurambi,"2,650","4,770",20.1690411,70.38109589,4.266931507
KAKAMEGA,Navakholo,"4,500","16,200",20.1690411,70.38109589,4.266931507
KAKAMEGA,IKOLOMANI,"4,130","14,124",20.1690411,70.38109589,4.266931507
KAKAMEGA,Matungu,"3,500","8,450",20.1690411,70.38109589,4.266931507
KERICHO,Ainamoi,"2,145","6,757",21.50493151,72.61315068,4.97890411
KERICHO,Belgut,927,"2,920",21.50493151,72.61315068,4.97890411
KERICHO,Bureti,"5,130","16,160",21.50493151,72.61315068,4.97890411
KERICHO,Kipkelion East,"10,560","33,264",21.50493151,72.61315068,4.97890411
KERICHO,Kipkelion West,"12,429","39,151",21.50493151,72.61315068,4.97890411
KERICHO,Soin-Sigowet,"2,270","7,151",21.50493151,72.61315068,4.97890411
KIAMBU,Kabete,"1,230","2,768",19.27287671,72.07589041,2.629005479
KIAMBU,Thika,"1,100","1,085",19.27287671,72.07589041,2.629005479
KIAMBU,Kiambu,550,990,19.27287671,72.07589041,2.629005479
KIAMBU,Gatundu South,"1,832","2,234",19.27287671,72.07589041,2.629005479
KIAMBU,Kikuyu,"3,100","4,300",19.27287671,72.07589041,2.629005479
KIAMBU,Juja,850,"1,024",19.27287671,72.07589041,2.629005479
KIAMBU,Limuru,"2,500","2,375",19.27287671,72.07589041,2.629005479
KIAMBU,Lari,"2,564","4,115",19.27287671,72.07589041,2.629005479
KIAMBU,Ruiru,389,242,19.27287671,72.07589041,2.629005479
KIAMBU,Kiambaa,850,"1,224",19.27287671,72.07589041,2.629005479
KIAMBU,Gatundu North,"1,980","1,390",19.27287671,72.07589041,2.629005479
KIAMBU,Githunguri,"2,285","2,468",19.27287671,72.07589041,2.629005479
KILIFI,Kaloleni,"8,264","7,744",26.54684932,79.78082192,3.900821918
KILIFI,Ganze,"6,085","2,643",26.54684932,79.78082192,3.900821918
KILIFI,Kilifi North,"6,080","4,803",26.54684932,79.78082192,3.900821918
KILIFI,Magarini,"12,375","12,625",26.54684932,79.78082192,3.900821918
KILIFI,Malindi,"5,500","8,360",26.54684932,79.78082192,3.900821918
KILIFI,Rabai,"4,066","2,787",26.54684932,79.78082192,3.900821918
KILIFI,Kilifi South,"6,395","8,061",26.54684932,79.78082192,3.900821918
KIRINYAGA,Kirinyaga West,"2,556","2,812",26.54684932,79.78082192,3.900821918
KIRINYAGA,Kirinyaga Central,"2,500","3,960",26.54684932,79.78082192,3.900821918
KIRINYAGA,Mwea East,"6,260","12,520",26.54684932,79.78082192,3.900821918
KIRINYAGA,Mwea West,"1,695","1,430",26.54684932,79.78082192,3.900821918
KIRINYAGA,Kirinyaga East,"3,518","4,019",26.54684932,79.78082192,3.900821918
KISII,Kitutu Chache North,"2,950","6,500",21.90575342,71.92246575,4.97890411
KISII,South Mugirango,"5,650","10,694",21.90575342,71.92246575,4.97890411
KISII,Boma Choge Borabu,"3,150","7,088",21.90575342,71.92246575,4.97890411
KISII,Nyaribari Chache,"3,100","7,130",21.90575342,71.92246575,4.97890411
KISII,Bobasi,"7,150","17,160",21.90575342,71.92246575,4.97890411
KISII,Nyaribari Masaba,"5,800","10,440",21.90575342,71.92246575,4.97890411
KISII,Kitutu Chache South,"5,400","12,150",21.90575342,71.92246575,4.97890411
KISII,BomaChoge Chache,"3,010","8,398",21.90575342,71.92246575,4.97890411
KISII,Bonchari,"3,200","9,234",21.90575342,71.92246575,4.97890411
KISUMU,Nyakach,"7,480","13,464",21.94547945,70.60438356,6.492054795
KISUMU,Seme,"7,550","12,441",21.94547945,70.60438356,6.492054795
KISUMU,Kisumu West,"8,900","14,019",21.94547945,70.60438356,6.492054795
KISUMU,Muhoroni,"5,760","7,960",21.94547945,70.60438356,6.492054795
KISUMU,Nyando,"7,500","7,500",21.94547945,70.60438356,6.492054795
KISUMU,Kisumu East,"2,000","4,000",21.94547945,70.60438356,6.492054795
KITUI,Kitui Central,"3,200","2,080",23.70821918,68.5509589,1.889589041
KITUI,Kitui East,"4,000","1,800",23.70821918,68.5509589,1.889589041
KITUI,Kitui Rural,"9,555","3,460",23.70821918,68.5509589,1.889589041
KITUI,Kitui South ,"4,420","1,392",23.70821918,68.5509589,1.889589041
KITUI,Kitui West,"3,540","2,040",23.70821918,68.5509589,1.889589041
KITUI,Mwingi Central,"2,000",380,23.70821918,68.5509589,1.889589041
KITUI,Mwingi North,"1,035",621,23.70821918,68.5509589,1.889589041
KITUI,Mwingi West,"6,800","1,827",23.70821918,68.5509589,1.889589041
KWALE,Matuga,"10,818","12,657",26.31863014,80.50876712,3.903561644
KWALE,Lungalunga,"9,300","20,873",26.31863014,80.50876712,3.903561644
KWALE,Msambweni,"7,800","8,424",26.31863014,80.50876712,3.903561644
KWALE,Kinango,"19,851","11,166",26.31863014,80.50876712,3.903561644
LAIKIPIA,Laikipia East,"2,030","4,384",16.43589041,81.28575342,4.305657534
LAIKIPIA,Laikipia West,"18,795","39,470",16.43589041,81.28575342,4.305657534
LAIKIPIA,Laikipia North,"2,185","2,172",16.43589041,81.28575342,4.305657534
LAMU,LAMU EAST ,"2,400","3,600",16.43589041,81.28575342,4.305657534
LAMU,LAMU WEST,"14,942","17,918",16.43589041,81.28575342,4.305657534
MACHAKOS,MACHAKOS,"8,780","7,902",19.34986301,71.94767123,2.504383562
MACHAKOS,MWALA,"5,000","3,375",19.34986301,71.94767123,2.504383562
MACHAKOS,KATHIANI,"4,145","2,984",19.34986301,71.94767123,2.504383562
MACHAKOS,KANGUNDO,"3,610","1,949",19.34986301,71.94767123,2.504383562
MACHAKOS,MATUNGULU,"11,000","9,850",19.34986301,71.94767123,2.504383562
MACHAKOS,MAVOKO,"4,885","3,885",19.34986301,71.94767123,2.504383562
MACHAKOS,MASINGA,"12,500","11,250",19.34986301,71.94767123,2.504383562
MACHAKOS,YATTA,"13,000","12,100",19.34986301,71.94767123,2.504383562
MAKUENI,MAKUENI,"16,000","3,600",21.74164384,70.77260274,3.51260274
MAKUENI,KILOME,"8,551","5,131",21.74164384,70.77260274,3.51260274
MAKUENI,MBOONI,"7,750","3,175",21.74164384,70.77260274,3.51260274
MAKUENI,KAITI,"9,500","6,230",21.74164384,70.77260274,3.51260274
MAKUENI,KIBWEZI EAST,"10,540","5,270",21.74164384,70.77260274,3.51260274
MAKUENI,KIBWEZI WEST,"5,570","2,440",21.74164384,70.77260274,3.51260274
MARSABIT,LAISAMIS,0,0,26.84356164,55.68109589,1.290136986
MARSABIT,MOYALE,60,19,26.84356164,55.68109589,1.290136986
MARSABIT,NORTH HORR,0,0,26.84356164,55.68109589,1.290136986
MARSABIT,SAKU,200,80,26.84356164,55.68109589,1.290136986
MERU,TIGANIA CENTRAL,"1,795","2,244",26.84356164,55.68109589,1.290136986
MERU,IMENTI SOUTH,"1,079",971,26.84356164,55.68109589,1.290136986
MERU,BUURI,"1,785","4,016",26.84356164,55.68109589,1.290136986
MERU,TIGANIA WEST,"4,200","1,251",26.84356164,55.68109589,1.290136986
MERU,IGEMBE NORTH,"1,670","1,587",26.84356164,55.68109589,1.290136986
MERU,IMENTI CENTRAL,"4,390","8,000",26.84356164,55.68109589,1.290136986
MERU,IMENTI NORTH,"1,570","3,171",26.84356164,55.68109589,1.290136986
MERU,TIGANIA EAST,"1,723","2,585",26.84356164,55.68109589,1.290136986
MERU,IGEMBE CENTRAL,"2,265","1,631",26.84356164,55.68109589,1.290136986
MERU,IGEMBE SOUTH,"1,863","2,012",26.84356164,55.68109589,1.290136986
MIGORI,RONGO,"4,050","12,288",22.41890411,67.45753425,3.213424658
MIGORI,SUNA EAST,"6,560","15,022",22.41890411,67.45753425,3.213424658
MIGORI,SUNA WEST,"6,405","11,273",22.41890411,67.45753425,3.213424658
MIGORI,KURIA EAST,"5,530","8,295",22.41890411,67.45753425,3.213424658
MIGORI,AWENDO,"5,000","9,000",22.41890411,67.45753425,3.213424658
MIGORI,KURIA WEST,"6,098","18,466",22.41890411,67.45753425,3.213424658
MIGORI,NYATIKE,"7,850","5,780",22.41890411,67.45753425,3.213424658
MIGORI,URIRI,"5,170","10,340",22.41890411,67.45753425,3.213424658
MOMBASA,NYALI,5,4,26.30928463,80.50931507,0.153673973
MOMBASA,KISAUNI,200,144,26.30928463,80.50931507,0.153673973
MOMBASA,CHANGAMWE,5,4,26.30928463,80.50931507,0.153673973
MOMBASA,JOMVU,95,68,26.30928463,80.50931507,0.153673973
MOMBASA,MVITA,3,2,26.30928463,80.50931507,0.153673973
MOMBASA,LIKONI,127,87,26.30928463,80.50931507,0.153673973
MURANG'A,GATANGA,"7,394","16,637",19.1173516,73.12958904,0.14589589
MURANG'A,KAHURO,"1,860","5,010",19.1173516,73.12958904,0.14589589
MURANG'A,KIGUMO,"3,900","5,775",19.1173516,73.12958904,0.14589589
MURANG'A,KANGEMA,"2,271","4,087",19.1173516,73.12958904,0.14589589
MURANG'A,KANDARA,"2,994","4,737",19.1173516,73.12958904,0.14589589
MURANG'A,MARAGUA,"8,597","13,211",19.1173516,73.12958904,0.14589589
MURANG'A,MATHIOYA,"2,955","4,648",19.1173516,73.12958904,0.14589589
MURANG'A,KIHARU,"4,729","2,554",19.1173516,73.12958904,0.14589589
NAIROBI,ROYSAMBU,15,30,19.26,72.06849315,2.500273973
NAIROBI,RUARAKA,1,1,19.26,72.06849315,2.500273973
NAIROBI,KASARANI,250,10,19.26,72.06849315,2.500273973
NAIROBI,EMBAKASI SOUTH/ CENTRAL/ EAST,43,50,19.26,72.06849315,2.500273973
NAIROBI,EMBAKASI WEST/ NORTH,2,1,19.26,72.06849315,2.500273973
NAIROBI,KIBRA,2,2,19.26,72.06849315,2.500273973
NAIROBI,LANGATA,65,117,19.26,72.06849315,2.500273973
NAIROBI,DAGORETTI SOUTH,0,0,19.26,72.06849315,2.500273973
NAIROBI,DAGORETTI NORTH,8,9,19.26,72.06849315,2.500273973
NAIROBI,KAMUKUNJI,1,1,19.26,72.06849315,2.500273973
NAIROBI,MAKADARA,3,4,19.26,72.06849315,2.500273973
NAIROBI,WESTLANDS,20,36,19.26,72.06849315,2.500273973
NAIROBI,STAREHE/ MATHARE,4,6,19.26,72.06849315,2.500273973
NAKURU,BAHATI,"8,290","32,410",17.23890411,75.23369863,4.349863014
NAKURU,NAKURU WEST,775,290,17.23890411,75.23369863,4.349863014
NAKURU,GILGIL,"7,790","22,055",17.23890411,75.23369863,4.349863014
NAKURU,KURESOI NORTH,"2,800","2,190",17.23890411,75.23369863,4.349863014
NAKURU,KURESOI SOUTH,"7,320","7,305",17.23890411,75.23369863,4.349863014
NAKURU,MOLO,"13,959","51,191",17.23890411,75.23369863,4.349863014
NAKURU,NAKURU EAST,300,240,17.23890411,75.23369863,4.349863014
NAKURU,NAIVASHA,"3,419","5,255",17.23890411,75.23369863,4.349863014
NAKURU,NJORO,"16,110","51,690",17.23890411,75.23369863,4.349863014
NAKURU,RONGAI,"12,200","35,468",17.23890411,75.23369863,4.349863014
NAKURU,SUBUKIA,"12,300","28,625",17.23890411,75.23369863,4.349863014
NANDI,EMGWEN,"10,572","35,235",18.37424658,70.39232877,4.354520548
NANDI,CHESUMEI,"10,045","40,682",18.37424658,70.39232877,4.354520548
NANDI,MOSOP,"19,600","79,380",18.37424658,70.39232877,4.354520548
NANDI,TINDERET,"7,500","23,625",18.37424658,70.39232877,4.354520548
NANDI ,ALDAI,"7,542","20,343",18.37424658,70.39232877,4.354520548
NANDI ,NANDI HILLS,"6,560","21,844",18.37424658,70.39232877,4.354520548
NAROK,NAROK SOUTH,"31,120","73,245",17.5509589,74.84794521,2.92630137
NAROK,NAROK WEST,"14,500","32,625",17.5509589,74.84794521,2.92630137
NAROK,TRANSMARA WEST,"11,500","24,008",17.5509589,74.84794521,2.92630137
NAROK,TRANSMARA EAST,20,27,17.5509589,74.84794521,2.92630137
NAROK,NAROK EAST,"8,232","27,783",17.5509589,74.84794521,2.92630137
NAROK,NAROK NORTH,"4,240","13,637",17.5509589,74.84794521,2.92630137
NYAMIRA,NYAMIRA SOUTH,"7,570","10,598",21.85753425,71.99808219,4.97890411
NYAMIRA,BORABU,"3,160","3,697",21.85753425,71.99808219,4.97890411
NYAMIRA,MASABA NORTH,"5,175","9,315",21.85753425,71.99808219,4.97890411
NYAMIRA,MANGA,"2,650","4,240",21.85753425,71.99808219,4.97890411
NYAMIRA,NYAMIRA NORTH,"7,520","15,566",21.85753425,71.99808219,4.97890411
NYAMIRA,NYAMIRA SOUTH,"7,570","10,598",21.85753425,71.99808219,4.97890411
